"no"	"CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1221	86.94	87.26	81.24	85.79	84.24	75.64	71.93	85.08	83.73	80.25	78.5	12.16	87.18
1222	66.72	79.24	64.35	67.05	69.44	70.56	58.25	67.97	67.75	66.81	64.99	12.36	70.17
1223	10.52	6.51	71.59	4.35	11.76	37.39	47.93	80.51	76.3	1.56	1.56	14.41	10.45
1227	59.36	77.15	55.28	57.06	56.19	51.77	66.06	63.79	74.44	44.46	51.69	4.76	65.44
1232	54.18	56.74	60.9	64.34	62.65	64.61	52.92	62.17	64.74	65.63	65.42	9.21	66.85
1234	80.83	80.0	72.53	79.45	78.81	68.48	65.11	80.7	76.88	77.02	75.93	7.64	81.0
1235	96.21	96.39	91.13	96.7	95.29	82.95	91.96	94.54	94.54	94.92	93.98	1.51	96.33
1237	83.76	82.96	82.11	79.42	83.48	83.28	85.05	85.02	91.2	71.36	67.07	13.86	86.82
1239	94.74	96.09	91.47	92.5	94.18	90.13	87.6	96.32	92.85	90.55	91.86	24.56	96.69
1240	91.18	91.35	85.46	89.57	87.12	88.86	79.0	88.72	88.11	83.59	82.24	0.36	90.96
1242	57.65	57.02	63.36	58.24	58.38	57.7	57.97	60.88	66.63	60.0	64.03	4.79	67.41
1244	92.31	94.29	87.28	90.94	91.21	82.34	72.45	90.8	90.68	85.53	78.48	7.92	93.94
1245	92.6	92.44	87.21	92.13	92.04	81.2	76.54	91.04	90.49	89.52	93.19	2.96	93.51
1246	88.75	88.12	89.09	86.65	86.31	90.09	82.82	87.75	85.54	84.32	85.45	6.19	88.95
1247	75.82	87.58	62.63	61.76	66.29	59.37	73.94	76.34	75.22	56.22	74.47	15.87	82.51
1248	92.18	93.41	87.15	88.46	88.67	80.95	76.51	90.81	90.08	86.75	86.17	9.64	91.69
1249	86.82	90.03	82.7	84.21	87.9	85.92	83.01	88.32	83.93	80.29	83.82	32.96	91.97
1250	69.82	68.67	62.65	67.42	65.53	64.89	58.35	69.02	62.86	66.28	64.28	15.43	72.12
1253	78.69	80.17	73.06	75.37	78.09	72.12	72.2	77.74	75.7	70.09	68.09	7.66	79.38
1256	82.93	83.75	71.24	77.18	80.1	78.67	73.83	82.25	81.2	73.85	75.7	16.38	82.99
1257	88.14	81.33	74.86	85.72	84.7	76.93	76.01	83.5	78.4	82.09	78.8	21.92	89.08
1258	80.04	76.22	75.94	73.78	72.68	74.89	72.37	83.11	81.62	75.54	75.44	5.85	83.57
1260	54.17	56.6	68.41	54.27	54.94	53.42	72.57	54.26	55.63	54.55	60.68	5.0e-2	53.68
1261	80.87	81.57	77.73	79.93	80.66	79.44	78.85	76.21	76.11	79.43	78.82	7.0	81.63
1263	81.66	83.42	66.23	72.05	74.8	70.71	61.79	80.14	82.58	63.89	48.49	10.34	76.0
1265	90.48	88.99	81.76	88.48	88.77	79.14	73.64	86.04	86.22	81.56	81.24	10.92	91.12
1266	81.28	79.95	74.53	79.89	83.81	82.15	76.75	72.86	79.73	79.17	77.58	7.78	80.95
1267	72.35	75.88	50.2	51.74	64.3	33.02	31.97	56.95	63.72	33.6	31.86	1.11	65.34
1268	57.56	59.17	47.33	50.95	53.27	47.73	48.76	57.89	58.28	44.79	47.2	3.44	60.7
1270	95.44	94.24	92.06	93.4	92.21	91.44	88.55	92.82	90.26	93.02	87.99	5.35	96.42
1271	84.65	85.03	86.01	89.05	88.79	88.18	81.49	89.14	89.63	93.24	89.71	32.67	91.6
1272	92.67	91.7	90.66	91.11	91.1	84.8	78.27	91.29	91.08	83.84	81.72	0.11	92.56
1273	64.99	72.19	54.94	66.24	67.54	56.41	61.2	66.7	63.97	62.79	54.86	19.2	65.49
1274	89.13	98.1	68.86	82.28	97.17	87.02	77.67	89.03	91.48	81.29	83.25	2.47	94.35
1276	31.71	47.2	36.81	60.24	49.13	47.52	39.19	49.6	57.91	55.45	59.01	11.4	62.12
1277	95.09	95.81	90.26	88.59	88.49	91.6	91.94	94.66	93.65	93.23	93.21	17.48	95.79
1280	94.22	92.94	88.38	92.33	92.95	92.19	88.29	88.28	88.1	84.88	80.41	14.51	95.9
1281	87.56	85.6	76.11	81.17	81.66	75.92	74.45	77.58	73.8	79.46	77.58	5.12	84.36
1282	75.71	73.31	73.11	76.09	72.75	68.83	60.35	74.61	71.07	74.15	73.66	1.61	78.56
1283	76.95	71.52	71.73	68.75	66.04	71.6	78.45	78.24	65.33	59.26	66.0	3.18	84.75
1285	94.87	94.67	82.59	82.1	81.84	92.47	88.13	91.74	87.4	92.21	85.53	8.31	94.83
1286	67.34	63.18	58.95	64.84	54.4	61.28	51.49	62.55	60.32	63.03	43.22	3.2	69.45
1287	89.93	90.21	89.67	91.16	92.5	86.06	67.13	91.07	92.01	69.35	67.56	9.0	93.7
1289	83.29	77.71	75.4	81.59	79.35	79.7	69.78	73.06	67.43	79.86	71.24	13.43	82.47
1290	95.42	95.71	89.58	93.4	93.62	94.01	93.21	94.12	94.4	92.64	94.27	9.0e-2	95.9
1292	89.73	86.6	87.42	89.43	90.4	78.61	84.66	90.23	90.14	83.91	86.98	4.05	91.37
1296	95.57	95.24	93.91	94.66	95.92	93.66	86.86	96.47	94.49	93.1	90.9	36.1	97.19
1297	92.55	92.59	84.91	91.54	90.02	85.18	82.42	93.33	93.28	88.8	87.51	18.9	93.12
1300	89.12	88.16	83.34	88.63	88.24	83.53	72.87	88.5	89.15	88.69	88.69	4.71	89.08
