"no"	CB3"	"CB4"	"CF2"	"KO1"	"KO2"	"NG1"	"NG2"	"NMSD1"	"NMSD2"	"PP3"	"PP4"	"SB8"	"FUSION"
1149	67.74184612895048	69.29728100828082	67.19510990038225	67.37577551599288	65.58231826945492	59.27634111348835	33.041670052429595	54.57568455274235	47.770265156750455	68.00822918223379	64.24162339952291	0.40870375886667665	74.20591514514997
1150	35.74377263664257	52.59096459913744	50.39119310179107	48.93981884674609	46.93067095324906	50.26118706070698	27.296320643190718	42.65507888867446	37.73235811327363	61.85418208207355	58.1137560760275	8.060911751772996e-2	58.402835425075885
1151	91.33309739489508	93.00231165460626	92.96931866373208	92.51700770004862	93.74173635829321	86.81018803132251	87.06099567155361	87.57261035035303	87.7769619422789	92.15307737343545	91.02154227314638	2.7094984275285685	93.23380314494813
1152	94.90711677804111	94.44618521356935	92.85683138827338	90.60586456910039	92.63731428047129	87.47231770935174	84.51865576451027	85.10695285392656	89.11639559175771	93.05776139983166	95.16292607088349	6.711378502837774	95.88337150455871
1153	94.04367688113204	93.64977806665176	89.36118383484643	92.70658784173139	93.62365278612191	90.45625530520894	89.00430380474918	93.1142777545405	92.60332916540635	96.37692860574319	96.1057930781168	15.58737495869674	95.15483005375367
1154	97.17785067473606	97.53515186943629	91.34168000050283	94.73531214976492	96.07604234652456	85.1268672653201	85.70167657488996	94.49769008619813	94.64080906238645	94.8573084591062	94.8573084591062	29.06818139949247	97.72900194022851
1155	61.6387651352281	62.24451508042104	63.682261483106	59.32791210873977	59.029585522190544	70.42572393494007	51.685157468388056	58.86816679087601	57.869264625934704	64.06643658877775	63.64031790195098	3.709198808053836e-2	62.40953503479123
1157	76.06837080293477	75.47330151999212	77.95659473582727	72.56975283735704	75.03801560103564	74.61813029085431	63.22229637198411	75.44493305756329	76.12240874917671	76.6369850439331	75.15544200971779	0.4855166228199982	78.39193254919758
1160	90.5047594300189	90.98447005969071	79.91357988481093	86.21898921927543	90.79911778410418	86.46653675239526	76.59915906624046	88.15540878323304	88.82580390849029	73.3045230125742	64.98143190276512	0.8807889672902676	91.91987818272169
1161	82.19587944239689	80.76907739398584	71.61607196255643	77.32579871310796	81.87201709013404	74.81431910569547	71.89059776717595	80.46446241071669	80.37652742603734	74.31130012984781	73.97678930372082	14.444570005164369	82.01600120191684
1162	91.15317816842192	89.51753963735791	82.44024769631129	89.16121026368043	90.30048594418221	86.365268335469	77.93668989861486	88.0590685865103	90.5304992561064	86.29748114723233	75.65040438569618	2.9896838522525164	92.02307279004994
1163	83.55940054805444	82.13892855073875	73.96330137457541	79.63181770723007	80.39919433988234	73.63124179539196	72.65936799505843	78.20908134790531	80.00502531960402	72.8226414477653	79.22155931791013	2.9702612450221553	82.45330621600037
1164	74.02111237493968	64.37426899928039	67.1441920999473	56.154720535403456	62.40540421812778	30.77317000716481	43.42496979206486	81.48730892731902	64.04735467755889	68.33972695662678	36.39393473413317	21.03143104878258	81.46099607083775
1166	91.19111707589515	90.71180378368702	80.14512673127274	89.52544372891005	90.75863525558313	85.1555985623342	68.31408376937132	86.96095729116546	89.32402849927827	85.40016541547568	85.40016541547568	9.100092398420308e-2	90.84404742561499
1167	78.89247024392677	81.48171989062389	69.35258991045374	65.32016153856438	83.68725441734006	41.73288628075998	37.91006728753606	75.68312507200528	83.20590462016409	71.06275757034005	68.37444467622818	6.974060181777954e-2	81.20339681815499
1168	95.68952927294218	96.50143911409799	92.82193894637398	96.4033710122999	96.6379690656842	95.69625342004727	95.35421420799204	93.17028307188234	95.8006498630719	95.14169740793955	95.33507463016885	1.5279812504687882	96.94861721029189
1169	53.780792093168564	59.549358249561436	74.17036564802363	55.04631109529631	57.011934495816995	57.040024451873364	62.67461807205558	56.193154073293904	58.37528895256773	57.93291975799857	66.19739684325073	7.904416225025196e-2	55.66811420020984
1170	48.06232328358371	40.21274691078023	19.279846672316058	34.62748282743805	38.280012389934434	24.278343878505833	18.701998898697084	41.82121980909953	39.52704356809159	27.087204828461065	33.853359565797184	0.46690345393930377	44.028127755508464
1171	86.86726953458847	86.58684464277158	85.27635458620384	86.98900630790034	86.38102213652743	84.603245571999	76.66554594482005	86.37903498572463	85.25191238541304	82.7153513019494	82.96369133932126	5.31232457871933e-2	87.68575928026162
1174	51.13330392440749	47.98426089162587	32.44485087287109	50.66269098669369	54.76539839048564	36.463994267341356	56.49916078923805	47.13807163563452	49.451961025810164	46.94021018981658	53.07840751599136	5.8178191488458354e-2	57.94090853852051
